"agency","hom17","hom16","rap17","rap16","rob17","rob16","agg17","agg16","non17","non16"
"Albuquerque Police",32,32,218,193,1310,847,1583,1825,59,40
"Atlanta Police",37,56,115,73,674,933,973,1032,234,194
"Aurora Police",18,10,178,201,351,287,549,472,33,21
"Austin Police",11,15,338,359,482,510,1128,1138,N/A,N/A
"Baltimore County Police",19,16,159,151,808,691,1573,1236,16,20
"Baltimore Police",170,137,158,143,2797,2425,2823,2413,312,318
"Boston Police",20,22,122,129,663,698,1281,1381,111,93
"Charlotte-Mecklenburg Police",47,22,165,138,983,911,1981,2078,124,179
"Chicago Police",328,324,804,819,5388,5164,7485,7504,1371,1597
"Cincinnati Police",33,33,136,132,593,574,402,349,168,158
"Cleveland Police",56,47,239,257,1446,1365,1302,1329,375,494
"Columbus Police",66,46,301,440,858,1065,712,722,168,162
"Dallas Police",83,83,425,381,2085,2150,2522,2160,210,171
"DeKalb County Police",41,45,56,68,624,753,466,401,N/A,N/A
"Denver Police",27,19,298,275,551,580,1502,1299,136,103
"Detroit Police",136,140,248,290,1248,1373,4095,4329,420,433
"El Paso Police",13,10,193,154,183,218,906,962,N/A,N/A
"Fairfax County Police",9,11,70,67,269,288,222,176,N/A,N/A
"Fort Worth Police",39,35,314,237,591,580,1411,1328,76,60
"Fresno Police",35,18,53,59,495,552,870,949,74,95
"Honolulu Police",15,9,194,181,440,378,558,597,54,56
"Houston Police",128,158,700,606,4951,4760,7089,6051,N/A,N/A
"Indianapolis Metro Police",58,62,349,428,1502,1970,1533,1704,194,234
"Jacksonville Sheriff's Dept",64,57,169,220,740,768,1500,1408,166,166
"Kansas City Police",68,53,120,122,891,879,6612,6336,N/A,N/A
"Las Vegas Metropolitan Police",69,82,622,610,1621,1692,2228,1999,415,412
"Long Beach Police",11,16,93,109,618,540,833,744,N/A,N/A
"Los Angeles County Sheriff's Dept",79,110,382,399,2443,2202,4585,4371,N/A,N/A
"Los Angeles Police",141,135,1230,1178,5170,4948,8109,7962,452,444
"Louisville Metropolitan Police",66,53,89,105,662,771,1445,1453,166,198
"Memphis Police",83,93,215,178,1565,1545,2937,2519,555,527
"Mesa Police",9,12,119,146,218,210,640,701,N/A,N/A
"Miami-Dade Police",48,36,245,206,719,685,2101,1970,119,118
"Milwaukee Police",55,55,239,258,1350,1551,2938,2652,272,267
"Minneapolis Police",17,13,259,214,870,799,1077,1069,110,140
"Montgomery County Police",9,9,131,167,341,310,366,285,7,15
"Nashville Police",55,35,268,297,1040,872,2597,2489,167,108
"Nassau County Police",3,4,20,23,198,249,320,320,24,41
"New Orleans Police",96,68,201,257,377,409,398,325,226,153
"Newark Police",29,45,69,47,500,622,672,520,158,104
"Oakland Police",34,28,95,128,1318,1509,1383,1287,136,145
"Oklahoma City Police",2 35,30,115,120,270,272,778,834,N/A,N/A
"Omaha NE Police",14,12,196,119,260,248,932,792,43,53
"Orlando Police",3,14,67,65,70,284,288,254,265,N/A,N/A
"Philadelphia Police",156,122,585,634,2878,2896,3738,3722,446,465
"Phoenix Police",4,30,40,263,241,782,731,1625,1435,N/A,N/A
"Pittsburgh Police",26,30,52,52,403,441,562,626,189,234
"Prince George's County Police",39,48,59,40,504,512,211,162,98,81
"Salt Lake City Police",2,4,117,106,277,267,408,367,N/A,N/A
"San Antonio Police",61,69,599,572,1179,1051,3580,3418,N/A,N/A
"San Diego Police",17,24,265,297,694,723,1539,1601,N/A,N/A
"San Francisco Police",34,26,185,163,1583,1497,1245,1302,74,84
"San Jose Police",15,25,299,220,604,583,998,1091,N/A,N/A
"Seattle Police",9,12,102,102,749,764,1165,1045,42,30
"St. Louis Metropolitan Police",92,87,126,140,770,811,1886,1738,1197,980
"Suffolk County Police",13,12,29,56,197,254,394,435,29,24
"Tampa Police",19,12,52,43,204,258,659,658,75,124
"Tucson Police",20,11,263,221,694,537,1177,1219,N/A,N/A
"Tulsa Police",43,28,163,203,484,453,1364,1361,N/A,N/A
"Virginia Beach Police",11,8,85,101,144,132,133,135,N/A,N/A
"Washington DC (Metro Police)",55,63,156,154,1011,1515,939,1210,N/A,N/A
"Wichita Police",19,10,200,182,323,290,949,1055,45,61
